"","MetabID","NameANDPutName","Name","Formula","MW","RT","KEGGPathways","PutaID_Formula","PutaID_MzColudHits","PutaID_MassHits","PutaID_KEGG","PutaID_Chemspider","PutaID_BioCyc_asName"," PutaID_BioCyc_asPathw"
"13","310.18162_1.284","","","C14 H30 O5 S","310.18162","1.284","","C9 H27 N8 P S_ppm:-0.25_Ifit:64MatchedIso.:2; C16 H27 N2 O2 P_ppm:1.96_Ifit:83MatchedIso.:2; C15 H26 N4 O S_ppm:-3.57_Ifit:88MatchedIso.:2; C14 H32 O3 P2_ppm:-3.37_Ifit:94MatchedIso.:2; C14 H30 O5 S_ppm:0.74_Ifit:93MatchedIso.:2","","","","","",""
"14","340.11168_1.285","","","C15 H22 N2 O3 P2","340.11168","1.285","","C14 H21 N4 O2 P S_ppm:-1.78_Ifit:36MatchedIso.:3; C20 H20 O3 S_ppm:-4.82_Ifit:40MatchedIso.:3; C13 H25 O6 P S_ppm:2.15_Ifit:40MatchedIso.:3; C16 H16 N6 O S_ppm:3.08_Ifit:38MatchedIso.:3; C13 H27 O4 P3_ppm:-1.59_Ifit:54MatchedIso.:3; C22 H17 N2 P_ppm:-3.7_Ifit:88MatchedIso.:2; C15 H22 N2 O3 P2_ppm:3.27_Ifit:60MatchedIso.:3","","","","","",""
"15","257.13123_1.288","","","","257.13123","1.288","","","","","","","",""
"16","276.09374_1.288","PutID_ChemS_8764_:Naphtho[7,8,1,2,3-nopqr]tetraphene_ppm:0; 8777_:IP_ppm:0; 8763_:1,12-benzoperylene_ppm:0","","C5 H17 Cl N6 O5","276.09374","1.288","","C6 H12 N8 O5_ppm:2.45_Ifit:100MatchedIso.:1; C5 H17 Cl N6 O5_ppm:-4.18_Ifit:53MatchedIso.:2","","","","PutID_ChemS_8764_:Naphtho[7,8,1,2,3-nopqr]tetraphene_ppm:0; 8777_:IP_ppm:0; 8763_:1,12-benzoperylene_ppm:0","",""
"17","286.15882_1.288","S_16α-Hydroxyestrone","S_16α-Hydroxyestrone","C17 H23 N2 P","286.15882","1.288","","C11 H22 N6 O S_ppm:4.34_Ifit:87MatchedIso.:2; C7 H22 N6 O6_ppm:-4.41_Ifit:59MatchedIso.:2; C17 H23 N2 P_ppm:-3.72_Ifit:71MatchedIso.:2","PutID_Mz_16α-Hydroxyestrone_simScore:87.9","","","PutID_ChemS_391854_:(3aS,6R,6aR)-6-{[Dimethyl(2-methyl-2-propanyl)silyl]oxy}-2,2-dimethyltetrahydro-4H-cyclopenta[d][1,3]dioxol-4-one_ppm:0.001","",""
"18","271.14684_1.29","PutID_ChemS_12730_:N-Isopropyl-N'-(3-methoxypropyl)-6-(methylsulfanyl)-1,3,5-triazine-2,4-diamine_ppm:0","","","271.14684","1.29","","","","","","PutID_ChemS_12730_:N-Isopropyl-N'-(3-methoxypropyl)-6-(methylsulfanyl)-1,3,5-triazine-2,4-diamine_ppm:0","",""
"19","290.09979_1.29","PutID_ChemS_9646639_:2,5-Dimethyl-4-oxo-4,5-dihydro-3-furanyl beta-D-glucopyranoside_ppm:0","","C12 H18 O8","290.09979","1.29","","C6 H19 N4 O7 P_ppm:2.25_Ifit:47MatchedIso.:2; C7 H15 N8 O3 P_ppm:-2.36_Ifit:56MatchedIso.:2; C16 H20 O P2_ppm:2.93_Ifit:63MatchedIso.:2; C15 H19 N2 P S_ppm:-2.99_Ifit:65MatchedIso.:2; C13 H22 O3 S2_ppm:-4.3_Ifit:69MatchedIso.:2; C9 H10 N10 O2_ppm:3.34_Ifit:69MatchedIso.:2; C12 H18 O8_ppm:-1.31_Ifit:72MatchedIso.:2","","","","PutID_ChemS_9646639_:2,5-Dimethyl-4-oxo-4,5-dihydro-3-furanyl beta-D-glucopyranoside_ppm:0","PutID_BioCyc_furaneol glucopyranoside_ID:CPD-10216_ppm:-1.306","META:PWY-5975_furaneol and mesifurane biosynthesis_ref:furaneol glucopyranoside_compoundUsed:12"
"20","328.16937_1.292","S_Sparfloxacin","S_Sparfloxacin","C11 H29 N4 O3 P S","328.16937","1.292","","C13 H24 N6 O2 S_ppm:3.73_Ifit:91MatchedIso.:2; C12 H30 N2 O4 P2_ppm:3.93_Ifit:95MatchedIso.:2; C21 H20 N4_ppm:1.75_Ifit:60MatchedIso.:2; C19 H25 N2 O P_ppm:-3.29_Ifit:66MatchedIso.:2; C17 H28 O4 S_ppm:-4.45_Ifit:72MatchedIso.:2; C9 H24 N6 O7_ppm:-3.89_Ifit:79MatchedIso.:2; C13 H26 N6 P2_ppm:-0.15_Ifit:91MatchedIso.:2; C11 H29 N4 O3 P S_ppm:-1.3_Ifit:96MatchedIso.:2","PutID_Mz_Sparfloxacin_simScore:98.9","","","PutID_ChemS_388741_:Gonan-3-yl hydrogen sulfate_ppm:0.001","",""
"21","230.09616_1.295","PutID_ChemS_2300896_:(1S)-1-Carboxy-N,N,N-trimethyl-2-(2-thioxo-2,3-dihydro-1H-imidazol-4-yl)ethanaminium_ppm:0","","","230.09616","1.295","","","","","","PutID_ChemS_2300896_:(1S)-1-Carboxy-N,N,N-trimethyl-2-(2-thioxo-2,3-dihydro-1H-imidazol-4-yl)ethanaminium_ppm:0","PutID_BioCyc_ergothioneine_ID:Ergothioneine_ppm:-0.695; ergothioneine (thione form)_ID:Ergothioneine-Thione_ppm:-0.695","META:PWY-7550_ergothioneine biosynthesis II (fungi)_ref:ergothioneine (thione form); ergothioneine_compoundUsed:28; META:PWY-7255_ergothioneine biosynthesis I (bacteria)_ref:ergothioneine (thione form); ergothioneine_compoundUsed:36"
"22","266.15525_1.301","Dodecyl sulfate","Dodecyl sulfate","C12 H26 O4 S","266.15525","1.301","","C12 H28 O2 P2_ppm:-4.54_Ifit:67MatchedIso.:3; C13 H22 N4 S_ppm:-4.78_Ifit:53MatchedIso.:4; C12 H26 O4 S_ppm:0.25_Ifit:74MatchedIso.:6","PutID_Mz_Dodecyl sulfate_score:88.5","","","PutID_ChemS_8448_:laurilsulfate_ppm:0","PutID_BioCyc_dodecyl sulfate_ID:CPD-8876_ppm:0.246",""
"23","264.08046_1.302","","","C16 H13 N2 P","264.08046","1.302","","C10 H12 N6 O S_ppm:4.3_Ifit:42MatchedIso.:2; C9 H18 N2 O3 P2_ppm:4.54_Ifit:81MatchedIso.:2; C8 H17 N4 O2 P S_ppm:-1.96_Ifit:37MatchedIso.:2; C16 H13 N2 P_ppm:-4.43_Ifit:69MatchedIso.:2","","","","","",""
"24","229.09989_1.303","","","","229.09989","1.303","","","","","","","",""
"25","292.112_1.303","","","C11 H22 N2 O3 P2","292.112","1.303","","C16 H20 O3 S_ppm:-4.5_Ifit:40MatchedIso.:3; C18 H17 N2 P_ppm:-3.2_Ifit:47MatchedIso.:3; C10 H21 N4 O2 P S_ppm:-0.97_Ifit:44MatchedIso.:3; C12 H16 N6 O S_ppm:4.69_Ifit:43MatchedIso.:3; C11 H22 N2 O3 P2_ppm:4.91_Ifit:76MatchedIso.:3","","","","","",""
"26","306.12753_1.303","S_Sparfloxacin","S_Sparfloxacin","C19 H19 N2 P","306.12753","1.303","","C13 H18 N6 O S_ppm:4.08_Ifit:42MatchedIso.:2; C12 H24 N2 O3 P2_ppm:4.29_Ifit:61MatchedIso.:3; C11 H23 N4 O2 P S_ppm:-1.32_Ifit:41MatchedIso.:2; C9 H18 N6 O6_ppm:-4.1_Ifit:48MatchedIso.:3; C17 H22 O3 S_ppm:-4.69_Ifit:47MatchedIso.:3; C19 H19 N2 P_ppm:-3.45_Ifit:66MatchedIso.:3","PutID_Mz_Sparfloxacin_simScore:98.9","","","","",""
"27","243.11552_1.305","PutID_ChemS_138737_:N-Ethyl-N'-isopropyl-6-(methylsulfinyl)-1,3,5-triazine-2,4-diamine_ppm:0","","","243.11552","1.305","","","","","","PutID_ChemS_138737_:N-Ethyl-N'-isopropyl-6-(methylsulfinyl)-1,3,5-triazine-2,4-diamine_ppm:0","PutID_BioCyc_ametryn sulfoxide_ID:CPD-9345_ppm:0.593",""
"28","244.11174_1.307","","","","244.11174","1.307","","","","","","","",""
"29","288.13813_1.307","S_Telmisartan","S_Telmisartan","C16 H21 N2 O P","288.13813","1.307","","C6 H20 N6 O7_ppm:-4.21_Ifit:39MatchedIso.:2; C10 H20 N6 O2 S_ppm:4.48_Ifit:69MatchedIso.:3; C18 H16 N4_ppm:2.21_Ifit:72MatchedIso.:2; C10 H22 N6 P2_ppm:0.06_Ifit:77MatchedIso.:2; C16 H21 N2 O P_ppm:-3.52_Ifit:80MatchedIso.:2","PutID_Mz_Telmisartan_simScore:86.2","","","PutID_ChemS_64436_:UNII:AAK27WY74I_ppm:-0.001","",""
"30","422.23403_1.308","PutID_ChemS_10862_:1,4-Bis(2-ethylhexyl) sulfosuccinate_ppm:0","","C21 H34 N4 O3 S","422.23403","1.308","","C16 H36 N6 O3 P2_ppm:3.84_Ifit:61MatchedIso.:4; C21 H44 P2 S2_ppm:-4.57_Ifit:32MatchedIso.:3; C20 H40 O5 P2_ppm:-2.52_Ifit:52MatchedIso.:4; C15 H37 N8 P3_ppm:-3.24_Ifit:57MatchedIso.:3; C17 H30 N10 O S_ppm:3.69_Ifit:48MatchedIso.:5; C24 H40 P2 S_ppm:3.41_Ifit:35MatchedIso.:5; C23 H31 N6 P_ppm:-1.77_Ifit:62MatchedIso.:4; C15 H35 N8 O2 P S_ppm:-0.22_Ifit:45MatchedIso.:4; C20 H38 O7 S_ppm:0.5_Ifit:31MatchedIso.:3; C21 H34 N4 O3 S_ppm:-2.67_Ifit:37MatchedIso.:4","","","","PutID_ChemS_10862_:1,4-Bis(2-ethylhexyl) sulfosuccinate_ppm:0","",""
"31","538.29671_1.311","PutID_ChemS_9701482_:Ulimorelin_ppm:-0.001","","C25 H44 N6 O3 P2","538.29671","1.311","","C23 H42 N10 O S2_ppm:-3.24_Ifit:42MatchedIso.:2; C25 H46 O12_ppm:-4.13_Ifit:42MatchedIso.:2; C24 H43 N8 O2 P S_ppm:-0.05_Ifit:42MatchedIso.:2; C25 H52 N2 O2 P2 S2_ppm:4.02_Ifit:42MatchedIso.:2; C20 H43 N8 O7 P_ppm:-4.69_Ifit:78MatchedIso.:2; C21 H42 N6 O10_ppm:0.86_Ifit:83MatchedIso.:2; C22 H38 N10 O6_ppm:-1.62_Ifit:89MatchedIso.:2; C23 H49 N4 O4 P3_ppm:0.07_Ifit:90MatchedIso.:2; C24 H45 N8 P3_ppm:-2.41_Ifit:96MatchedIso.:2; C25 H44 N6 O3 P2_ppm:3.15_Ifit:99MatchedIso.:2","","","","PutID_ChemS_9701482_:Ulimorelin_ppm:-0.001","",""
"32","258.1276_1.312","","","","258.1276","1.312","","","","","","","",""
"33","273.12605_1.312","PutID_ChemS_391525_:9-Allyl-2-phenyl-9H-imidazo[1,2-a]benzimidazole_ppm:0.001","","","273.12605","1.312","","","","","","PutID_ChemS_391525_:9-Allyl-2-phenyl-9H-imidazo[1,2-a]benzimidazole_ppm:0.001","",""
"34","276.08273_1.315","PutID_ChemS_7830990_:(E,Z)-Gloxazone_ppm:0","","C11 H12 N6 O S","276.08273","1.315","","C6 H16 N2 O10_ppm:8.1_Ifit:100MatchedIso.:1; C9 H17 N4 O2 P S_ppm:6.33_Ifit:68MatchedIso.:2; C17 H13 N2 P_ppm:3.97_Ifit:80MatchedIso.:2; C10 H18 N2 O3 P2_ppm:12.55_Ifit:78MatchedIso.:2; C11 H12 N6 O S_ppm:12.32_Ifit:86MatchedIso.:2","","","","PutID_ChemS_7830990_:(E,Z)-Gloxazone_ppm:0","",""
"35","202.06487_1.316","PutID_BioCyc_ovothiol_ID:CPD-17028_ppm:4986.866","","","202.06487","1.316","","","","","","","PutID_BioCyc_ovothiol_ID:CPD-17028_ppm:4986.866",""
"36","326.19162_1.321","PutID_ChemS_8172_:4-Dodecylbenzenesulfonic acid_ppm:0; 23761_:2-Dodecylbenzenesulfonic acid_ppm:0","","C18 H30 O3 S","326.19162","1.321","","C10 H26 N6 O6_ppm:0.72_Ifit:41MatchedIso.:3; C18 H32 O P2_ppm:-3.75_Ifit:62MatchedIso.:4; C20 H27 N2 P_ppm:1.32_Ifit:75MatchedIso.:3; C18 H30 O3 S_ppm:0.16_Ifit:82MatchedIso.:6","","","","PutID_ChemS_8172_:4-Dodecylbenzenesulfonic acid_ppm:0; 23761_:2-Dodecylbenzenesulfonic acid_ppm:0","PutID_BioCyc_paromamine_ID:CPD-14125_ppm:9265.617; 2'-deamino-2'-hydroxyneamine_ID:CPD-14128_ppm:9265.617","META:PWY-7025_gentamicin biosynthesis_ref:paromamine_compoundUsed:11; META:PWY-7018_paromomycin biosynthesis_ref:paromamine_compoundUsed:11; META:PWY-7015_ribostamycin biosynthesis_ref:paromamine_compoundUsed:11; META:PWY-7014_paromamine biosynthesis I_ref:paromamine_compoundUsed:44; META:PWY-7021_superpathway of neomycin biosynthesis_ref:paromamine_compoundUsed:45; META:PWY-7022_paromamine biosynthesis II_ref:paromamine_compoundUsed:57; META:PWY-7000_kanamycin biosynthesis_ref:2'-deamino-2'-hydroxyneamine; paromamine_compoundUsed:64; META:PWY-7020_superpathway of butirocin biosynthesis_ref:paromamine_compoundUsed:75"
"37","310.07812_1.324","","","C11 H21 Cl N2 O2 P2","310.07812","1.324","","C17 H16 N2 P2_ppm:-2.42_Ifit:40MatchedIso.:2; C11 H15 N6 O P S_ppm:5.01_Ifit:33MatchedIso.:3; C15 H19 O3 P S_ppm:-3.65_Ifit:38MatchedIso.:3; C8 H15 Cl N6 O5_ppm:-3.63_Ifit:34MatchedIso.:4; C10 H20 Cl N4 O P S_ppm:-0.89_Ifit:41MatchedIso.:4; C16 H19 Cl O2 S_ppm:-4.22_Ifit:40MatchedIso.:5; C12 H15 Cl N6 S_ppm:4.44_Ifit:51MatchedIso.:5; C11 H21 Cl N2 O2 P2_ppm:4.65_Ifit:68MatchedIso.:5","","","","","",""
"38","216.08063_1.325","","","","216.08063","1.325","","","","","","","",""
"39","215.08424_1.331","","","","215.08424","1.331","","","","","","","",""
"40","300.17451_1.332","S_Perfluoro-1-butanesulfonic acid (PFBS)","S_Perfluoro-1-butanesulfonic acid (PFBS)","C16 H28 O3 S","300.17451","1.332","","C8 H24 N6 O6_ppm:-4.06_Ifit:55MatchedIso.:2; C12 H24 N6 O S_ppm:4.27_Ifit:82MatchedIso.:2; C18 H25 N2 P_ppm:-3.41_Ifit:85MatchedIso.:2; C16 H28 O3 S_ppm:-4.67_Ifit:88MatchedIso.:2","PutID_Mz_Perfluoro-1-butanesulfonic acid (PFBS)_score:84.7","","","","",""
"41","278.09619_1.333","","","C17 H15 N2 P","278.09619","1.333","","C15 H18 O3 S_ppm:-5.3_Ifit:84MatchedIso.:2; C9 H19 N4 O2 P S_ppm:-1.59_Ifit:51MatchedIso.:2; C7 H14 N6 O6_ppm:-4.64_Ifit:56MatchedIso.:2; C11 H14 N6 O S_ppm:4.36_Ifit:68MatchedIso.:2; C17 H15 N2 P_ppm:-3.93_Ifit:83MatchedIso.:2","","","","","",""
"42","410.23399_1.337","","","C19 H38 O7 S","410.23399","1.337","","C22 H31 N6 P_ppm:-1.93_Ifit:75MatchedIso.:2; C14 H37 N8 P3_ppm:-3.44_Ifit:78MatchedIso.:2; C21 H35 N2 O4 P_ppm:1.34_Ifit:40MatchedIso.:2; C23 H40 P2 S_ppm:3.4_Ifit:40MatchedIso.:4; C19 H40 O5 P2_ppm:-2.69_Ifit:89MatchedIso.:2; C15 H36 N6 O3 P2_ppm:3.85_Ifit:86MatchedIso.:2; C16 H30 N10 O S_ppm:3.69_Ifit:57MatchedIso.:4; C20 H34 N4 O3 S_ppm:-2.85_Ifit:57MatchedIso.:4; C14 H35 N8 O2 P S_ppm:-0.34_Ifit:56MatchedIso.:4; C19 H38 O7 S_ppm:0.41_Ifit:43MatchedIso.:4","","","","","",""
"43","286.1225_1.338","S_16α-Hydroxyestrone","S_16α-Hydroxyestrone","C10 H20 N6 P2","286.1225","1.338","","C10 H18 N6 O2 S_ppm:4.56_Ifit:42MatchedIso.:2; C18 H14 N4_ppm:2.28_Ifit:52MatchedIso.:2; C8 H23 N4 O3 P S_ppm:-1.22_Ifit:41MatchedIso.:2; C9 H24 N2 O4 P2_ppm:4.78_Ifit:93MatchedIso.:2; C16 H19 N2 O P_ppm:-3.5_Ifit:59MatchedIso.:2; C6 H18 N6 O7_ppm:-4.19_Ifit:59MatchedIso.:2; C10 H20 N6 P2_ppm:0.11_Ifit:92MatchedIso.:2","PutID_Mz_16α-Hydroxyestrone_simScore:87.9","","","","",""
"44","328.06993_1.34","S_Sparfloxacin","S_Sparfloxacin","C17 H8 N6 O2","328.06993","1.34","","C9 H12 N8 O4 S_ppm:-0.88_Ifit:49MatchedIso.:3; C9 H14 N8 O2 P2_ppm:-4.76_Ifit:56MatchedIso.:3; C10 H13 N6 O5 P_ppm:4.35_Ifit:59MatchedIso.:3; C10 H23 N2 O2 P3 S_ppm:1.9_Ifit:69MatchedIso.:3; C14 H17 O7 P_ppm:-3.83_Ifit:70MatchedIso.:3; C16 H12 N2 O6_ppm:1.21_Ifit:72MatchedIso.:3; C18 H19 P3_ppm:-0.09_Ifit:73MatchedIso.:3; C18 H17 O2 P S_ppm:3.79_Ifit:74MatchedIso.:3; C11 H9 N10 O P_ppm:0.28_Ifit:76MatchedIso.:3; C17 H8 N6 O2_ppm:-2.87_Ifit:79MatchedIso.:3","PutID_Mz_Sparfloxacin_simScore:98.9","","","","PutID_BioCyc_actinocin_ID:CPD-18447_ppm:1.206",""
"45","244.13096_1.343","PutID_ChemS_21258154_:6-Hydroxy-5-methyl-4,11-dioxoundecanoic acid_ppm:0","","C12 H20 O5","244.13096","1.343","","C7 H17 N8 P_ppm:-1.7_Ifit:81MatchedIso.:2; C13 H24 S2_ppm:-4_Ifit:67MatchedIso.:2; C12 H20 O5_ppm:-0.45_Ifit:62MatchedIso.:2","","","","PutID_ChemS_21258154_:6-Hydroxy-5-methyl-4,11-dioxoundecanoic acid_ppm:0","PutID_BioCyc_3-hydroxy-2-oxopropyl 7-methyl-3-oxooctanoate_ID:CPD-19938_ppm:-0.448",""
"46","325.07662_1.345","PutID_ChemS_4047_:Midazolam_ppm:0.002","","","325.07662","1.345","","","","","","PutID_ChemS_4047_:Midazolam_ppm:0.002","",""
"47","302.11871_1.347","PutID_ChemS_9883971_:cumyluron_ppm:0","","C14 H22 O5 S","302.11871","1.347","","C6 H18 N6 O8_ppm:0.34_Ifit:100MatchedIso.:1; C10 H20 N6 O P2_ppm:4.41_Ifit:68MatchedIso.:2; C9 H19 N8 P S_ppm:-1.28_Ifit:58MatchedIso.:2; C16 H19 N2 O2 P_ppm:0.99_Ifit:89MatchedIso.:2; C14 H22 O5 S_ppm:-0.27_Ifit:94MatchedIso.:2","","","","PutID_ChemS_9883971_:cumyluron_ppm:0","",""
"48","314.15444_1.363","PutID_ChemS_3501_:homochlorcyclizine_ppm:0.001; 2699_:Clomipramine_ppm:0.001","","C16 H26 O4 S","314.15444","1.363","","C20 H18 N4_ppm:4.12_Ifit:74MatchedIso.:2; C8 H22 N6 O7_ppm:-1.77_Ifit:53MatchedIso.:2; C12 H22 N6 O2 S_ppm:6.19_Ifit:89MatchedIso.:2; C10 H29 N4 O P3_ppm:-3.12_Ifit:72MatchedIso.:2; C10 H27 N4 O3 P S_ppm:0.93_Ifit:74MatchedIso.:2; C18 H23 N2 O P_ppm:-1.14_Ifit:80MatchedIso.:2; C12 H24 N6 P2_ppm:2.14_Ifit:87MatchedIso.:2; C16 H26 O4 S_ppm:-2.35_Ifit:65MatchedIso.:3","","","","PutID_ChemS_3501_:homochlorcyclizine_ppm:0.001; 2699_:Clomipramine_ppm:0.001","PutID_BioCyc_a bacteriochlorin_ID:Bacteriochlorins_ppm:4.118",""
"49","402.2072_1.365","","","C20 H36 O4 P2","402.2072","1.365","","C15 H31 N8 O P S_ppm:-1.78_Ifit:58MatchedIso.:2; C12 H30 N6 O9_ppm:-0.57_Ifit:51MatchedIso.:2; C14 H35 N4 O5 P S_ppm:1.54_Ifit:58MatchedIso.:2; C13 H26 N10 O5_ppm:-3.89_Ifit:53MatchedIso.:2; C22 H31 N2 O3 P_ppm:-0.08_Ifit:66MatchedIso.:2; C13 H34 N6 O4 S2_ppm:-2.73_Ifit:53MatchedIso.:2; C14 H37 N4 O3 P3_ppm:-1.62_Ifit:59MatchedIso.:2; C21 H30 N4 O2 S_ppm:-4.35_Ifit:64MatchedIso.:2; C20 H34 O6 S_ppm:-1.02_Ifit:66MatchedIso.:2; C20 H36 O4 P2_ppm:-4.19_Ifit:68MatchedIso.:2","","","","","",""
"50","274.12253_1.366","PutID_ChemS_30576_:dexchlorpheniramine_ppm:0.001; 2624_:chlorphenamine_ppm:0.001","","C9 H20 N6 P2","274.12253","1.366","","C5 H18 N6 O7_ppm:-4.27_Ifit:42MatchedIso.:2; C9 H18 N6 O2 S_ppm:4.86_Ifit:41MatchedIso.:2; C15 H19 N2 O P_ppm:-3.55_Ifit:72MatchedIso.:2; C17 H14 N4_ppm:2.48_Ifit:64MatchedIso.:2; C9 H20 N6 P2_ppm:0.21_Ifit:82MatchedIso.:2","","","","PutID_ChemS_30576_:dexchlorpheniramine_ppm:0.001; 2624_:chlorphenamine_ppm:0.001","",""
"51","302.15373_1.366","","","C11 H24 N6 P2","302.15373","1.366","","C7 H22 N6 O7_ppm:-4.19_Ifit:63MatchedIso.:2; C19 H18 N4_ppm:1.93_Ifit:68MatchedIso.:2; C17 H23 N2 O P_ppm:-3.54_Ifit:74MatchedIso.:2; C15 H26 O4 S_ppm:-4.8_Ifit:76MatchedIso.:2; C11 H22 N6 O2 S_ppm:4.09_Ifit:86MatchedIso.:2; C11 H24 N6 P2_ppm:-0.12_Ifit:87MatchedIso.:2","","","","","",""
