# Constructed from biom file
#OTU ID	CL.10	CL.12	CL.4	CL.6	CL.8	MSQ4.AG.009	MSQ4.AG.010	MSQ4.AG.011	MSQ6.AG.479	MSQ6.AG.480	MSQ6.AG.481
Cell cycle - yeast	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cell division	41243.0	52779.0	47897.0	54581.0	51610.0	37137.0	18218.0	20078.0	32327.0	13603.0	18099.0
Cell motility and secretion	78035.0	110337.0	97796.0	129279.0	124727.0	122585.0	65421.0	70343.0	111973.0	52054.0	64926.0
Cellular antigens	7249.0	17969.0	24514.0	19620.0	14511.0	27960.0	12529.0	16217.0	24516.0	9642.0	14293.0
Chagas disease (American trypanosomiasis)	197.0	128.0	196.0	3950.0	1635.0	7880.0	1920.0	2243.0	7019.0	1956.0	2526.0
Chaperones and folding catalysts	647117.0	754543.0	636487.0	846891.0	888684.0	516454.0	292196.0	307343.0	453312.0	215104.0	270514.0
Chloroalkane and chloroalkene degradation	147859.0	132899.0	120667.0	180170.0	237052.0	95907.0	50664.0	50215.0	82657.0	37228.0	44451.0
Chlorocyclohexane and chlorobenzene degradation	2416.0	2994.0	2898.0	9830.0	961.0	16020.0	4108.0	4733.0	14369.0	4165.0	5346.0
Cholinergic synapse	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Chromosome	1138824.0	1261058.0	1041064.0	1386104.0	1625627.0	673222.0	419588.0	415793.0	586629.0	298990.0	361306.0
Chronic myeloid leukemia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Circadian rhythm - plant	2.0	2.0	1.0	0.0	0.0	1323.0	791.0	586.0	1625.0	966.0	880.0
Citrate cycle (TCA cycle)	424465.0	445189.0	429890.0	566626.0	670558.0	391019.0	180521.0	202949.0	343780.0	140834.0	184917.0
Clavulanic acid biosynthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Colorectal cancer	1.0	289.0	6.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Complement and coagulation cascades	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cyanoamino acid metabolism	154909.0	217635.0	171046.0	220432.0	186125.0	148665.0	83949.0	92931.0	127670.0	59205.0	78688.0
Cysteine and methionine metabolism	690163.0	768047.0	657913.0	879008.0	997071.0	515365.0	300581.0	298995.0	446384.0	213988.0	260431.0
Cytochrome P450	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cytokine receptors	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cytokine-cytokine receptor interaction	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cytoskeleton proteins	331350.0	351251.0	281276.0	359072.0	468087.0	98750.0	92970.0	82071.0	86633.0	62127.0	67749.0
Cytosolic DNA-sensing pathway	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D-Alanine metabolism	67855.0	75097.0	64075.0	82464.0	97943.0	44026.0	29119.0	27710.0	38236.0	20230.0	23805.0
D-Arginine and D-ornithine metabolism	885.0	1114.0	1169.0	863.0	721.0	120.0	121.0	115.0	142.0	110.0	152.0
D-Glutamine and D-glutamate metabolism	104390.0	119220.0	103892.0	125368.0	155167.0	66739.0	43746.0	43105.0	58192.0	30710.0	36967.0
DNA repair and recombination proteins	2070552.0	2210417.0	1877714.0	2391485.0	3029905.0	1132444.0	760948.0	740534.0	999369.0	543879.0	643792.0
DNA replication	453194.0	495760.0	426371.0	512064.0	661755.0	228520.0	166266.0	160312.0	202682.0	117651.0	138347.0
DNA replication proteins	843656.0	929342.0	782317.0	963361.0	1177908.0	458184.0	338566.0	325547.0	404445.0	236336.0	277953.0
Dilated cardiomyopathy (DCM)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dioxin degradation	63981.0	54130.0	47517.0	96341.0	105221.0	64037.0	18065.0	20962.0	53009.0	14191.0	19789.0
Drug metabolism - cytochrome P450	31997.0	19806.0	20179.0	58798.0	62451.0	51522.0	12448.0	15210.0	44175.0	11566.0	15825.0
Drug metabolism - other enzymes	198332.0	232145.0	202001.0	242728.0	257740.0	142231.0	94552.0	93322.0	122496.0	64842.0	78625.0
ECM-receptor interaction	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Electron transfer carriers	17524.0	11607.0	10656.0	48019.0	33140.0	53458.0	10317.0	14367.0	44174.0	8996.0	14240.0
Endocrine and other factor-regulated calcium reabsorption	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Endocytosis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Energy metabolism	573065.0	649562.0	576512.0	763038.0	785282.0	498227.0	281074.0	289764.0	431064.0	201362.0	251619.0
Epithelial cell signaling in Helicobacter pylori infection	69151.0	76577.0	66046.0	82456.0	95069.0	41206.0	24208.0	24169.0	35911.0	17535.0	21272.0
ErbB signaling pathway	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ether lipid metabolism	229.0	284.0	292.0	188.0	1037.0	460.0	534.0	433.0	352.0	367.0	328.0
Ethylbenzene degradation	38527.0	25920.0	25061.0	43219.0	65163.0	24003.0	17713.0	16297.0	20902.0	12090.0	13881.0
Fat digestion and absorption	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fatty acid biosynthesis	365585.0	372601.0	315502.0	439860.0	526770.0	231484.0	147364.0	144954.0	202434.0	104863.0	125259.0
Fatty acid elongation in mitochondria	2.0	2.0	1.0	0.0	0.0	1323.0	791.0	586.0	1625.0	966.0	880.0
Fatty acid metabolism	164713.0	167777.0	141602.0	251544.0	237748.0	206191.0	82553.0	87451.0	175924.0	62735.0	80493.0
Fc epsilon RI signaling pathway	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fc gamma R-mediated phagocytosis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Flagellar assembly	197916.0	360204.0	204049.0	269396.0	182257.0	63475.0	106656.0	78307.0	54359.0	63431.0	60972.0
Flavone and flavonol biosynthesis	2513.0	2318.0	1738.0	2311.0	278.0	175.0	197.0	173.0	214.0	179.0	234.0
Flavonoid biosynthesis	15853.0	9254.0	7092.0	15441.0	29581.0	1787.0	1432.0	1148.0	2178.0	1591.0	1490.0
Fluorobenzoate degradation	13.0	43.0	6.0	11622.0	45.0	22317.0	4969.0	6143.0	19432.0	4901.0	6700.0
Focal adhesion	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Folate biosynthesis	204816.0	237233.0	224046.0	261454.0	273907.0	197361.0	107797.0	112048.0	175377.0	81561.0	101476.0
Fructose and mannose metabolism	680725.0	693524.0	654596.0	925724.0	984437.0	590783.0	290081.0	312327.0	509409.0	214714.0	276582.0
Function unknown	811379.0	931765.0	805641.0	1298129.0	1218757.0	1049011.0	424119.0	474843.0	902575.0	327468.0	433921.0
G protein-coupled receptors	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GTP-binding proteins	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Galactose metabolism	525370.0	605573.0	512562.0	679191.0	733231.0	378051.0	240264.0	263858.0	328527.0	169137.0	220548.0
Gastric acid secretion	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
General function prediction only	2411341.0	2748595.0	2395835.0	3037396.0	3344239.0	1845167.0	1078276.0	1100032.0	1609493.0	778160.0	960694.0
Geraniol degradation	12290.0	13759.0	15505.0	48983.0	9261.0	81912.0	21252.0	27575.0	70146.0	18721.0	27211.0
Germination	37266.0	35438.0	25479.0	31805.0	41499.0	3883.0	6451.0	4722.0	3349.0	4078.0	3765.0
Glioma	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Glutamatergic synapse	73478.0	88165.0	77721.0	83116.0	99918.0	43112.0	33982.0	33381.0	38520.0	23710.0	28255.0
Glutathione metabolism	92821.0	122533.0	109868.0	177085.0	134830.0	181071.0	69812.0	78482.0	155074.0	53593.0	71999.0
Glycan bindng proteins	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Glycan biosynthesis and metabolism	19943.0	17997.0	20399.0	47505.0	36082.0	51319.0	16046.0	19093.0	42679.0	11999.0	17290.0
Glycerolipid metabolism	326284.0	331067.0	273191.0	424661.0	489834.0	227054.0	115621.0	117829.0	196783.0	86538.0	106187.0
Glycerophospholipid metabolism	400775.0	483315.0	382243.0	532808.0	541621.0	301675.0	164019.0	166643.0	264868.0	122412.0	149593.0
Glycine, serine and threonine metabolism	555546.0	627267.0	547299.0	720440.0	802013.0	470887.0	262684.0	265306.0	409278.0	190738.0	233784.0
Glycolysis / Gluconeogenesis	869853.0	896428.0	763729.0	1116747.0	1314226.0	612479.0	321105.0	334693.0	533348.0	239388.0	298451.0
Glycosaminoglycan biosynthesis - chondroitin sulfate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Glycosaminoglycan degradation	8493.0	27992.0	33022.0	11836.0	4333.0	44715.0	48392.0	59756.0	44502.0	35311.0	48579.0
Glycosphingolipid biosynthesis - ganglio series	4935.0	21439.0	27779.0	7916.0	3260.0	27767.0	31771.0	40346.0	26756.0	22097.0	31600.0
Glycosphingolipid biosynthesis - globo series	57873.0	78660.0	77272.0	72752.0	80202.0	55803.0	53488.0	64980.0	51359.0	37043.0	51438.0
Glycosphingolipid biosynthesis - lacto and neolacto series	3.0	132.0	55.0	7.0	30.0	1683.0	2168.0	2929.0	1467.0	1342.0	2063.0
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Glycosyltransferases	198844.0	246062.0	207024.0	294772.0	294855.0	208834.0	98116.0	105748.0	184620.0	76985.0	97875.0
Glyoxylate and dicarboxylate metabolism	410535.0	439734.0	391636.0	538395.0	569335.0	370247.0	172615.0	183476.0	320817.0	130742.0	166512.0
GnRH signaling pathway	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hedgehog signaling pathway	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hematopoietic cell lineage	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hepatitis C	372.0	664.0	768.0	269.0	220.0	0.0	0.0	0.0	0.0	0.0	0.0
Histidine metabolism	460588.0	543764.0	486222.0	537912.0	676541.0	241578.0	171963.0	173822.0	214689.0	122526.0	149113.0
Homologous recombination	683508.0	733686.0	627640.0	774114.0	1014555.0	329076.0	233720.0	226381.0	290207.0	165125.0	194817.0
Huntington's disease	2509.0	7829.0	7721.0	14760.0	2981.0	27886.0	13156.0	13632.0	24301.0	9847.0	12352.0
Hypertrophic cardiomyopathy (HCM)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Indole alkaloid biosynthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Influenza A	373.0	953.0	774.0	271.0	221.0	0.0	0.0	0.0	0.0	0.0	0.0
Inorganic ion transport and metabolism	114567.0	146682.0	113708.0	239425.0	175222.0	230474.0	80251.0	95214.0	200070.0	66329.0	90167.0
Inositol phosphate metabolism	57816.0	60845.0	58163.0	122456.0	85213.0	129256.0	39074.0	47586.0	109855.0	31969.0	45323.0
Insulin signaling pathway	95023.0	92704.0	74416.0	112154.0	146668.0	37040.0	24214.0	26236.0	33342.0	18279.0	22853.0
Ion channels	8345.0	3244.0	2469.0	9082.0	3640.0	18565.0	7338.0	8552.0	16858.0	6520.0	8537.0
Isoflavonoid biosynthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Isoquinoline alkaloid biosynthesis	22891.0	37465.0	35950.0	37342.0	30623.0	41316.0	24243.0	25306.0	35748.0	16981.0	21489.0
Leishmaniasis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Leukocyte transendothelial migration	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Limonene and pinene degradation	49516.0	45315.0	40434.0	88961.0	84638.0	83151.0	31479.0	33225.0	71894.0	25118.0	31816.0
Linoleic acid metabolism	56568.0	57832.0	53897.0	56148.0	87776.0	16208.0	21405.0	20007.0	15097.0	14349.0	15937.0
Lipid biosynthesis proteins	442699.0	486355.0	400630.0	557166.0	645371.0	295638.0	173358.0	176228.0	260135.0	127207.0	155564.0
Lipid metabolism	117871.0	126540.0	97047.0	166006.0	167388.0	98308.0	39027.0	40342.0	83930.0	29976.0	37681.0
Lipoic acid metabolism	17673.0	19023.0	21560.0	30349.0	33500.0	30016.0	14272.0	17597.0	26753.0	11364.0	15848.0
Lipopolysaccharide biosynthesis	76354.0	119181.0	149778.0	158090.0	157014.0	194927.0	77726.0	95652.0	175214.0	65892.0	90695.0
Lipopolysaccharide biosynthesis proteins	115382.0	175100.0	203495.0	271842.0	215399.0	335401.0	124446.0	154461.0	294451.0	102528.0	144775.0
Long-term depression	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Long-term potentiation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lysine biosynthesis	652241.0	727392.0	602601.0	736977.0	917765.0	313544.0	220516.0	212380.0	275386.0	155442.0	182619.0
Lysine degradation	81954.0	90736.0	66082.0	142201.0	102716.0	141087.0	55696.0	59324.0	121361.0	43078.0	55345.0
Lysosome	32320.0	55253.0	62787.0	33553.0	40424.0	52863.0	56634.0	68981.0	53228.0	42067.0	57144.0
MAPK signaling pathway	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MAPK signaling pathway - yeast	15933.0	22715.0	26342.0	18510.0	16757.0	23621.0	15404.0	16127.0	20805.0	11002.0	13938.0
Measles	372.0	664.0	768.0	269.0	220.0	0.0	0.0	0.0	0.0	0.0	0.0
Meiosis - yeast	294.0	374.0	394.0	240.0	2028.0	2671.0	1621.0	1212.0	3298.0	1962.0	1802.0
Melanogenesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Membrane and intracellular structural molecules	219322.0	317721.0	295545.0	425815.0	299400.0	458094.0	198823.0	236862.0	398995.0	153312.0	212138.0
Metabolism of cofactors and vitamins	81764.0	89533.0	90594.0	124262.0	127984.0	113824.0	50072.0	51709.0	98188.0	37717.0	46997.0
Metabolism of xenobiotics by cytochrome P450	31989.0	19751.0	20029.0	58780.0	62421.0	50199.0	11657.0	14624.0	42550.0	10600.0	14945.0
Methane metabolism	968120.0	1029045.0	929487.0	1093554.0	1358976.0	545284.0	337735.0	337205.0	473885.0	241511.0	292418.0
Mineral absorption	2709.0	3659.0	5230.0	1953.0	6182.0	22.0	15.0	16.0	16.0	8.0	14.0
Mismatch repair	578723.0	625056.0	528900.0	647340.0	830852.0	282868.0	210106.0	199811.0	250432.0	147706.0	171533.0
N-Glycan biosynthesis	6913.0	10780.0	14319.0	6378.0	8636.0	5615.0	4981.0	5344.0	6260.0	4416.0	5358.0
NOD-like receptor signaling pathway	30675.0	34177.0	27593.0	34918.0	40918.0	13982.0	10923.0	10376.0	12497.0	7723.0	8916.0
Naphthalene degradation	121015.0	105645.0	101066.0	151846.0	219316.0	73909.0	41929.0	41545.0	65274.0	31591.0	37465.0
Neuroactive ligand-receptor interaction	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Neurotrophin signaling pathway	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Nicotinate and nicotinamide metabolism	324642.0	353733.0	291856.0	409287.0	481331.0	200429.0	109822.0	114935.0	171606.0	78484.0	99345.0
Nitrogen metabolism	370654.0	475887.0	414761.0	564183.0	480045.0	465501.0	227446.0	246581.0	399638.0	165500.0	216193.0
Nitrotoluene degradation	38507.0	46377.0	31439.0	48004.0	27811.0	44082.0	20844.0	19561.0	37592.0	15291.0	17831.0
Non-homologous end-joining	29719.0	17154.0	14659.0	29239.0	57783.0	4517.0	3271.0	2547.0	5489.0	3745.0	3420.0
Notch signaling pathway	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Novobiocin biosynthesis	90706.0	110229.0	98065.0	111226.0	131231.0	67376.0	44773.0	44961.0	58431.0	30941.0	37799.0
Nucleotide excision repair	285573.0	309828.0	260464.0	310261.0	420749.0	122387.0	98509.0	92665.0	111140.0	70534.0	80384.0
Nucleotide metabolism	15035.0	22080.0	21794.0	58494.0	25320.0	78717.0	20720.0	24672.0	65805.0	16794.0	24018.0
Olfactory transduction	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
One carbon pool by folate	395652.0	480048.0	413251.0	467965.0	552342.0	230428.0	166438.0	164059.0	204295.0	117687.0	140518.0
Oocyte meiosis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Other glycan degradation	140962.0	203199.0	177761.0	163676.0	183937.0	113486.0	114853.0	138368.0	106164.0	80223.0	110593.0
Other ion-coupled transporters	766289.0	980619.0	849028.0	1203050.0	1061028.0	968464.0	450045.0	493735.0	829788.0	330680.0	435462.0
Other transporters	210201.0	223553.0	198963.0	273577.0	319238.0	170753.0	97342.0	102083.0	147567.0	69649.0	87897.0
Other types of O-glycan biosynthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Others	556587.0	641192.0	551003.0	788269.0	787925.0	597225.0	313645.0	333256.0	519468.0	231215.0	292944.0
Oxidative phosphorylation	601301.0	716699.0	654680.0	711168.0	723822.0	501891.0	315322.0	320851.0	444321.0	229131.0	279429.0
PPAR signaling pathway	79003.0	89122.0	73371.0	95291.0	122483.0	41087.0	29967.0	30800.0	37203.0	21737.0	26716.0
Pancreatic cancer	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pancreatic secretion	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pantothenate and CoA biosynthesis	439023.0	515020.0	438825.0	523995.0	570919.0	282410.0	173885.0	170425.0	248230.0	125939.0	150397.0
Parkinson's disease	4.0	1156.0	24.0	8.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
Pathogenic Escherichia coli infection	5.0	85.0	0.0	10.0	65.0	0.0	0.0	0.0	0.0	0.0	0.0
Pathways in cancer	33679.0	38263.0	31038.0	41316.0	47946.0	22003.0	12989.0	12759.0	19727.0	9836.0	11613.0
Penicillin and cephalosporin biosynthesis	9484.0	14850.0	18435.0	24320.0	13780.0	31961.0	9121.0	11388.0	27997.0	8246.0	11363.0
Pentose and glucuronate interconversions	407133.0	412384.0	401371.0	577064.0	593459.0	414853.0	205428.0	226523.0	355492.0	149461.0	196478.0
Pentose phosphate pathway	686684.0	715388.0	609901.0	868865.0	1004528.0	462929.0	256944.0	264174.0	403840.0	189426.0	233972.0
Peptidases	1270641.0	1487364.0	1274276.0	1609832.0	1834540.0	873509.0	522349.0	530109.0	762528.0	375950.0	462158.0
Peptidoglycan biosynthesis	607049.0	646765.0	539702.0	703846.0	878592.0	317299.0	218435.0	211804.0	278574.0	154052.0	182123.0
Peroxisome	85670.0	119104.0	104619.0	122024.0	121330.0	89073.0	57054.0	60401.0	77258.0	39743.0	50723.0
